#Thorlabs FTS
[SpectrumHeader]
"#Date	20240416"
"#Time	12150949"
"#GMTTime	10150949"
"#XAxisUnit	nm_air"
"#YAxisUnit	intensity"
"#Average	1"
"#RollingAverage	0"
"#SpectrumSmooth	0"
"#SSmoothParam1	0"
"#SSmoothParam2	0"
"#SSmoothParam3	0"
"#SSmoothParam4	0"
"#IntegrationTime	0.001500"
"#TriggerMode	0"
"#InterferometerSerial	M00311842"
"#Source	"
"#AirMeasureOpt	0"
"#WnrMin	0.000000"
"#WnrMax	0.000000"
"#Length	3648"
"#Resolution	0.0000000000e+000"
"#ADC	0"
"#Instrument	0"
"#InstrModel	CCS175"
"#Type	emission"
"5.207551270e+002	2.427787113e-004"
"5.209135742e+002	1.153198886e-003"
"5.210720215e+002	1.931194274e-004"
"5.212304688e+002	1.351836021e-003"
"5.213889160e+002	2.924379951e-004"
"5.215474243e+002	1.004221034e-003"
"5.217058716e+002	-9.159378824e-004"
"5.218643799e+002	1.252517453e-003"
"5.220228271e+002	-7.338538417e-004"
"5.221813354e+002	5.407343851e-004"
"5.223398438e+002	-1.677380176e-003"
"5.224983521e+002	9.380086558e-004"
"5.226569214e+002	-1.098021865e-003"
"5.228154297e+002	-5.517697900e-006"
"5.229739990e+002	-6.179821794e-004"
"5.231325073e+002	1.600132440e-003"
"5.232910767e+002	6.897122366e-004"
"5.234496460e+002	1.235964359e-003"
"5.236082153e+002	7.393715205e-004"
"5.237667847e+002	1.318729832e-003"
"5.239253540e+002	5.407343851e-004"
"5.240839844e+002	1.600132440e-003"
"5.242425537e+002	-1.081468770e-003"
"5.244011841e+002	5.572874798e-004"
"5.245598145e+002	-6.014290848e-004"
"5.247183838e+002	1.269070490e-004"
"5.248770752e+002	-3.696857602e-004"
"5.250357056e+002	6.400529528e-004"
"5.251943359e+002	-1.064915676e-003"
"5.253529663e+002	9.049024666e-004"
"5.255116577e+002	-1.213893556e-004"
"5.256703491e+002	9.380086703e-005"
"5.258289795e+002	-1.379424473e-003"
"5.259876709e+002	6.069467636e-004"
"5.261463623e+002	-7.173007471e-004"
"5.263050537e+002	1.020774129e-003"
"5.264638062e+002	-5.352167063e-004"
"5.266224976e+002	1.120092697e-003"
"5.267812500e+002	-6.014290848e-004"
"5.269399414e+002	1.682897913e-003"
"5.270986938e+002	3.586503735e-004"
"5.272574463e+002	1.302176737e-003"
"5.274161987e+002	4.579689412e-004"
"5.275749512e+002	1.732557197e-003"
"5.277337036e+002	-1.263552811e-003"
"5.278925171e+002	6.400529528e-004"
"5.280512695e+002	-6.841945578e-004"
"5.282100830e+002	1.086986507e-003"
"5.283688965e+002	-1.528402325e-003"
"5.285277100e+002	-2.207079160e-005"
"5.286865234e+002	-9.490440716e-004"
"5.288453369e+002	2.924379951e-004"
"5.290041504e+002	-7.338538417e-004"
"5.291630249e+002	9.380086558e-004"
"5.293218384e+002	1.318729832e-003"
"5.294807129e+002	1.070433413e-003"
"5.296395874e+002	3.089910897e-004"
"5.297984009e+002	1.500813873e-003"
"5.299573364e+002	-4.855574225e-004"
"5.301162109e+002	1.153198886e-003"
"5.302750854e+002	1.153198886e-003"
"5.304339600e+002	5.738405744e-004"
"5.305928955e+002	-1.495296136e-003"
"5.307518311e+002	8.386900881e-004"
"5.309107056e+002	-1.760145649e-003"
"5.310696411e+002	8.717962774e-004"
"5.312285767e+002	-9.159378824e-004"
"5.313875122e+002	6.400529528e-004"
"5.315465088e+002	-7.173007180e-005"
"5.317054443e+002	3.420972789e-004"
"5.318644409e+002	-5.683228956e-004"
"5.320233765e+002	7.062653312e-004"
"5.321823730e+002	-5.186636117e-004"
"5.323413696e+002	1.699451008e-003"
"5.325003662e+002	-7.007476524e-004"
"5.326593628e+002	1.269070548e-003"
"5.328183594e+002	2.758849041e-005"
"5.329774170e+002	2.460893244e-003"
"5.331364136e+002	2.179490635e-003"
"5.332954712e+002	2.030512784e-003"
"5.334545288e+002	1.269070490e-004"
"5.336135864e+002	1.169751980e-003"
"5.337726440e+002	1.600132382e-004"
"5.339317017e+002	1.103539602e-003"
"5.340907593e+002	5.572874798e-004"
"5.342498779e+002	1.120092697e-003"
"5.344089355e+002	-6.510883686e-004"
"5.345680542e+002	7.724777242e-005"
"5.347271729e+002	6.400529528e-004"
"5.348862305e+002	1.037327223e-003"
"5.350453491e+002	7.062653312e-004"
"5.352045288e+002	1.864981954e-003"
"5.353636475e+002	-3.200264764e-004"
"5.355227661e+002	1.252517453e-003"
"5.356819458e+002	-2.869202872e-004"
"5.358410645e+002	9.711148450e-004"
"5.360002441e+002	-2.207079233e-004"
"5.361594238e+002	4.910751013e-004"
"5.363186035e+002	-9.159378824e-004"
"5.364777832e+002	8.221369935e-004"
"5.366369629e+002	-2.041548287e-004"
"5.367962036e+002	2.262256166e-004"
"5.369553833e+002	-1.114574960e-003"
"5.371146240e+002	5.738405744e-004"
"5.372738647e+002	-3.365795710e-004"
"5.374330444e+002	1.103539602e-003"
"5.375922852e+002	-7.835131255e-004"
"5.377515869e+002	9.711148450e-004"
"5.379108276e+002	-5.186636117e-004"
"5.380700684e+002	1.103539602e-003"
"5.382293701e+002	-5.517698009e-004"
"5.383886108e+002	1.517366967e-003"
"5.385479126e+002	-2.207079160e-005"
"5.387072144e+002	1.136645791e-003"
"5.388665161e+002	-2.538140980e-004"
"5.390258179e+002	4.745220358e-004"
"5.391851196e+002	-1.164234243e-003"
"5.393444214e+002	1.103539616e-004"
"5.395037842e+002	-8.828316932e-004"
"5.396631470e+002	6.400529528e-004"
"5.398224487e+002	-1.246999716e-003"
"5.399818115e+002	5.241812905e-004"
"5.401411743e+002	-8.000662201e-004"
"5.403005371e+002	9.049024666e-004"
"5.404598999e+002	-8.166193147e-004"
"5.406193237e+002	1.136645791e-003"
"5.407786865e+002	-3.696857602e-004"
"5.409381104e+002	1.070433413e-003"
"5.410974731e+002	-4.855574225e-004"
"5.412568970e+002	6.566060474e-004"
"5.414163208e+002	-4.855574225e-004"
"5.415757446e+002	1.053880318e-003"
"5.417351685e+002	7.890308043e-004"
"5.418946533e+002	2.758849041e-005"
"5.420540771e+002	-8.993847878e-004"
"5.422135620e+002	1.103539602e-003"
"5.423729858e+002	-8.662785986e-004"
"5.425324707e+002	7.062653312e-004"
"5.426919556e+002	-6.014290848e-004"
"5.428514404e+002	6.566060474e-004"
"5.430109253e+002	-8.828316932e-004"
"5.431704102e+002	2.162937541e-003"
"5.433299561e+002	1.103539580e-005"
"5.434894409e+002	8.386900881e-004"
"5.436489868e+002	-9.987032972e-004"
"5.438085327e+002	1.070433413e-003"
"5.439680786e+002	2.593318059e-004"
"5.441276245e+002	4.579689412e-004"
"5.442871704e+002	1.070433413e-003"
"5.444467163e+002	1.335282926e-003"
"5.446062622e+002	-1.048362581e-003"
"5.447658691e+002	1.600132440e-003"
"5.449254761e+002	-8.000662201e-004"
"5.450850220e+002	1.120092697e-003"
"5.452446289e+002	-3.862388621e-005"
"5.454042358e+002	7.228184259e-004"
"5.455638428e+002	-2.041548287e-004"
"5.457234497e+002	1.517366967e-003"
"5.458831177e+002	-1.147681149e-003"
"5.460427246e+002	8.717962774e-004"
"5.462023926e+002	-8.166193147e-004"
"5.463620605e+002	4.414158466e-004"
"5.465216675e+002	-2.207079233e-004"
"5.466813354e+002	4.910751013e-004"
"5.468410034e+002	-1.213893556e-004"
"5.470007324e+002	1.269070548e-003"
"5.471604004e+002	-8.000662201e-004"
"5.473200684e+002	1.384942210e-003"
"5.474797974e+002	-4.855574225e-004"
"5.476395264e+002	6.566060474e-004"
"5.477991943e+002	-3.862388548e-004"
"5.479589233e+002	8.055838989e-004"
"5.481186523e+002	-2.372610179e-004"
"5.482784424e+002	6.731591420e-004"
"5.484381714e+002	-9.655971662e-004"
"5.485979004e+002	6.400529528e-004"
"5.487576904e+002	-9.159378824e-004"
"5.489174194e+002	6.069467636e-004"
"5.490772095e+002	5.241812905e-004"
"5.492369995e+002	1.202858170e-003"
"5.493967896e+002	-1.213893527e-003"
"5.495565796e+002	6.069467636e-004"
"5.497163696e+002	-5.517697900e-006"
"5.498762207e+002	7.559246151e-004"
"5.500360107e+002	-2.538140980e-004"
"5.501958618e+002	1.368389116e-003"
"5.503557129e+002	-3.200264764e-004"
"5.505155029e+002	1.004221034e-003"
"5.506753540e+002	-4.690043279e-004"
"5.508352051e+002	1.616685535e-003"
"5.509951172e+002	-1.329765189e-003"
"5.511549683e+002	1.070433413e-003"
"5.513148193e+002	-1.412530662e-003"
"5.514747314e+002	1.616685535e-003"
"5.516346436e+002	-1.876017341e-004"
"5.517945557e+002	8.386900881e-004"
"5.519544067e+002	-2.207079233e-004"
"5.521143799e+002	2.080172068e-003"
"5.522742920e+002	-9.324909770e-004"
"5.524342041e+002	1.186305075e-003"
"5.525941162e+002	-6.345352740e-004"
"5.527540894e+002	8.055838989e-004"
"5.529140625e+002	-4.690043279e-004"
"5.530739746e+002	1.749110292e-003"
"5.532339478e+002	6.069467781e-005"
"5.533939209e+002	1.053880318e-003"
"5.535538940e+002	1.103539616e-004"
"5.537139282e+002	7.724777097e-004"
"5.538739014e+002	-1.213893527e-003"
"5.540338745e+002	8.221369935e-004"
"5.541939087e+002	-1.379424502e-004"
"5.543539429e+002	9.049024666e-004"
"5.545139771e+002	-1.180787338e-003"
"5.546740112e+002	9.711148450e-004"
"5.548340454e+002	-6.510883686e-004"
"5.549940796e+002	1.434601494e-003"
"5.551541138e+002	-1.147681149e-003"
"5.553142090e+002	2.758849005e-004"
"5.554742432e+002	-7.669600309e-004"
"5.556343384e+002	9.049024666e-004"
"5.557944336e+002	2.924379951e-004"
"5.559544678e+002	1.136645791e-003"
"5.561146240e+002	2.758849041e-005"
"5.562747192e+002	1.269070548e-003"
"5.564348145e+002	1.600132382e-004"
"5.565949097e+002	5.572874798e-004"
"5.567550659e+002	-1.594614703e-003"
"5.569151611e+002	4.083096574e-004"
"5.570753174e+002	-4.193450441e-004"
"5.572354736e+002	1.302176737e-003"
"5.573956299e+002	-1.280105906e-003"
"5.575557861e+002	1.649791724e-003"
"5.577159424e+002	-5.186636117e-004"
"5.578761597e+002	4.083096574e-004"
"5.580363159e+002	9.380086703e-005"
"5.581965332e+002	6.069467636e-004"
"5.583566895e+002	-2.207079233e-004"
"5.585169067e+002	1.202858170e-003"
"5.586771240e+002	-1.031809486e-003"
"5.588373413e+002	1.401495305e-003"
"5.589975586e+002	-3.531326656e-004"
"5.591578369e+002	1.103539602e-003"
"5.593180542e+002	-1.710486395e-004"
"5.594783325e+002	6.234998582e-004"
"5.596385498e+002	-2.207079233e-004"
"5.597988281e+002	8.552431827e-004"
"5.599591064e+002	1.103539580e-005"
"5.601193848e+002	7.393715205e-004"
"5.602796631e+002	-3.862388621e-005"
"5.604399414e+002	1.004221034e-003"
"5.606002808e+002	8.221369935e-004"
"5.607605591e+002	9.711148450e-004"
"5.609208984e+002	-1.246999716e-003"
"5.610811768e+002	4.414158466e-004"
"5.612415161e+002	-9.159378824e-004"
"5.614018555e+002	2.113278257e-003"
"5.615621948e+002	-8.166193147e-004"
"5.617225342e+002	1.169751980e-003"
"5.618829346e+002	2.758849005e-004"
"5.620432739e+002	5.903936690e-004"
"5.622036133e+002	-3.696857602e-004"
"5.623640137e+002	1.219411264e-003"
"5.625244141e+002	-1.098021865e-003"
"5.626848145e+002	1.136645791e-003"
"5.628452148e+002	-6.345352740e-004"
"5.630056152e+002	8.717962774e-004"
"5.631660156e+002	-8.828316641e-005"
"5.633264160e+002	1.004221034e-003"
"5.634868774e+002	-8.166193147e-004"
"5.636472778e+002	1.169751980e-003"
"5.638077393e+002	-8.828316641e-005"
"5.639682007e+002	5.076281959e-004"
"5.641286621e+002	2.096725220e-004"
"5.642891235e+002	1.351836021e-003"
"5.644495850e+002	-8.662785986e-004"
"5.646100464e+002	8.717962774e-004"
"5.647705688e+002	-2.538140980e-004"
"5.649310303e+002	8.883493720e-004"
"5.650915527e+002	-1.313212095e-003"
"5.652520752e+002	8.552431827e-004"
"5.654125977e+002	-4.193450441e-004"
"5.655731201e+002	9.049024666e-004"
"5.657336426e+002	2.096725220e-004"
"5.658941650e+002	8.055838989e-004"
"5.660546875e+002	-2.869202872e-004"
"5.662152710e+002	1.583579346e-003"
"5.663757935e+002	-9.490440716e-004"
"5.665363770e+002	7.890308043e-004"
"5.666969604e+002	-1.031809486e-003"
"5.668575439e+002	2.179490635e-003"
"5.670181274e+002	-7.338538417e-004"
"5.671787109e+002	1.037327223e-003"
"5.673392944e+002	-1.180787338e-003"
"5.674998779e+002	1.384942210e-003"
"5.676605225e+002	4.414158320e-005"
"5.678211670e+002	1.765663328e-004"
"5.679817505e+002	7.393715205e-004"
"5.681423950e+002	4.248627520e-004"
"5.683030396e+002	-7.173007471e-004"
"5.684636841e+002	3.420972789e-004"
"5.686243286e+002	-8.993847878e-004"
"5.687850342e+002	7.559246151e-004"
"5.689456787e+002	-4.193450441e-004"
"5.691063843e+002	1.401495305e-003"
"5.692670288e+002	2.593318059e-004"
"5.694277344e+002	5.572874798e-004"
"5.695884399e+002	-8.000662201e-004"
"5.697491455e+002	5.407343851e-004"
"5.699098511e+002	1.103539616e-004"
"5.700705566e+002	1.600132440e-003"
"5.702313232e+002	7.724777242e-005"
"5.703920288e+002	9.049024666e-004"
"5.705527954e+002	1.103539580e-005"
"5.707135010e+002	1.120092697e-003"
"5.708742676e+002	-8.662785986e-004"
"5.710350342e+002	5.738405744e-004"
"5.711958008e+002	2.427787113e-004"
"5.713565674e+002	4.745220358e-004"
"5.715173950e+002	7.724777097e-004"
"5.716781616e+002	1.202858170e-003"
"5.718389893e+002	-1.180787338e-003"
"5.719997559e+002	5.407343851e-004"
"5.721605835e+002	9.380086703e-005"
"5.723214111e+002	8.221369935e-004"
"5.724822388e+002	-6.014290848e-004"
"5.726430664e+002	1.434601494e-003"
"5.728038940e+002	1.103539580e-005"
"5.729647217e+002	1.053880318e-003"
"5.731256104e+002	-9.490440716e-004"
"5.732864380e+002	1.269070548e-003"
"5.734473267e+002	-5.517698082e-005"
"5.736082153e+002	4.579689412e-004"
"5.737691040e+002	-5.517698009e-004"
"5.739299927e+002	2.096725220e-004"
"5.740908813e+002	-1.180787338e-003"
"5.742517700e+002	9.049024666e-004"
"5.744126587e+002	-5.517698009e-004"
"5.745736084e+002	8.552431827e-004"
"5.747344971e+002	6.400529528e-004"
"5.748954468e+002	1.004221034e-003"
"5.750563965e+002	7.724777242e-005"
"5.752173462e+002	2.924379951e-004"
"5.753782959e+002	-4.855574225e-004"
"5.755392456e+002	1.037327223e-003"
"5.757001953e+002	-3.696857602e-004"
"5.758612061e+002	1.550473156e-003"
"5.760221558e+002	1.103539616e-004"
"5.761831665e+002	1.368389116e-003"
"5.763441162e+002	6.566060474e-004"
"5.765051270e+002	8.717962774e-004"
"5.766661377e+002	-3.531326656e-004"
"5.768271484e+002	7.724777097e-004"
"5.769881592e+002	-1.263552811e-003"
"5.771492310e+002	3.089910897e-004"
"5.773102417e+002	-8.331724093e-004"
"5.774713135e+002	1.351836021e-003"
"5.776323242e+002	2.096725220e-004"
"5.777933960e+002	9.711148450e-004"
"5.779544678e+002	-2.372610179e-004"
"5.781155396e+002	5.241812905e-004"
"5.782766113e+002	-9.159378824e-004"
"5.784376831e+002	1.583579346e-003"
"5.785988159e+002	-1.164234243e-003"
"5.787598877e+002	1.434601494e-003"
"5.789210205e+002	-8.828316641e-005"
"5.790820923e+002	1.517366967e-003"
"5.792432251e+002	1.765663328e-004"
"5.794043579e+002	3.420972789e-004"
"5.795654907e+002	-5.683228956e-004"
"5.797266235e+002	5.738405744e-004"
"5.798877563e+002	-8.497255039e-004"
"5.800489502e+002	9.214555612e-004"
"5.802100830e+002	-1.131128054e-003"
"5.803712769e+002	7.393715205e-004"
"5.805324097e+002	-7.504069363e-004"
"5.806936035e+002	1.716004102e-003"
"5.808547974e+002	-4.855574225e-004"
"5.810159912e+002	5.241812905e-004"
"5.811771851e+002	3.255441843e-004"
"5.813383789e+002	5.903936690e-004"
"5.814996338e+002	-4.690043279e-004"
"5.816608276e+002	3.752034681e-004"
"5.818220825e+002	-2.538140980e-004"
"5.819832764e+002	8.055838989e-004"
"5.821445313e+002	-1.379424502e-004"
"5.823057861e+002	8.055838989e-004"
"5.824670410e+002	-5.517698082e-005"
"5.826282959e+002	3.917565627e-004"
"5.827896118e+002	-7.338538417e-004"
"5.829508667e+002	1.202858170e-003"
"5.831121826e+002	-1.081468770e-003"
"5.832734375e+002	1.500813873e-003"
"5.834347534e+002	-1.180787338e-003"
"5.835960693e+002	1.103539602e-003"
"5.837573853e+002	-8.828316641e-005"
"5.839187012e+002	6.400529528e-004"
"5.840800171e+002	-2.869202872e-004"
"5.842413330e+002	1.517366967e-003"
"5.844026489e+002	5.241812905e-004"
"5.845640259e+002	1.202858170e-003"
"5.847254028e+002	-6.676414632e-004"
"5.848867188e+002	9.214555612e-004"
"5.850480957e+002	-8.828316932e-004"
"5.852094727e+002	1.169751980e-003"
"5.853708496e+002	-1.296659000e-003"
"5.855322266e+002	1.053880318e-003"
"5.856936646e+002	-9.324909770e-004"
"5.858550415e+002	3.752034681e-004"
"5.860164795e+002	-9.159378824e-004"
"5.861778564e+002	7.228184259e-004"
"5.863392944e+002	-1.263552811e-003"
"5.865007324e+002	1.053880318e-003"
"5.866621704e+002	-1.876017341e-004"
"5.868236084e+002	8.883493720e-004"
"5.869850464e+002	-9.655971662e-004"
"5.871464844e+002	7.062653312e-004"
"5.873079834e+002	-3.862388621e-005"
"5.874694214e+002	1.103539602e-003"
"5.876309204e+002	-8.331724093e-004"
"5.877924194e+002	1.898088143e-003"
"5.879538574e+002	2.924379951e-004"
"5.881153564e+002	1.202858170e-003"
"5.882769165e+002	3.089910897e-004"
"5.884384155e+002	8.717962774e-004"
"5.885999146e+002	-4.027919495e-004"
"5.887614136e+002	1.103539602e-003"
"5.889229736e+002	-1.048362581e-003"
"5.890845337e+002	9.380086558e-004"
"5.892460327e+002	-2.703671926e-004"
"5.894075928e+002	1.020774129e-003"
"5.895691528e+002	7.724777242e-005"
"5.897307129e+002	1.467707683e-003"
"5.898922729e+002	-7.007476524e-004"
"5.900538940e+002	1.699451008e-003"
"5.902154541e+002	2.262256166e-004"
"5.903770752e+002	9.214555612e-004"
"5.905386353e+002	-7.173007180e-005"
"5.907002563e+002	7.062653312e-004"
"5.908618774e+002	-3.200264764e-004"
"5.910234985e+002	6.897122366e-004"
"5.911851196e+002	-1.147681149e-003"
"5.913467407e+002	1.368389116e-003"
"5.915083618e+002	-3.862388621e-005"
"5.916700439e+002	1.004221034e-003"
"5.918316650e+002	-9.324909770e-004"
"5.919933472e+002	5.241812905e-004"
"5.921550293e+002	-4.690043279e-004"
"5.923167114e+002	5.407343851e-004"
"5.924783936e+002	-3.531326656e-004"
"5.926400757e+002	1.202858170e-003"
"5.928017578e+002	-2.041548287e-004"
"5.929634399e+002	1.053880318e-003"
"5.931251831e+002	-5.517698009e-004"
"5.932868652e+002	1.202858170e-003"
"5.934486084e+002	-1.876017341e-004"
"5.936102905e+002	9.214555612e-004"
"5.937720337e+002	-1.147681149e-003"
"5.939337769e+002	1.070433413e-003"
"5.940955200e+002	1.434601436e-004"
"5.942573242e+002	8.386900881e-004"
"5.944190674e+002	6.566060474e-004"
"5.945808105e+002	1.500813873e-003"
"5.947426147e+002	-7.338538417e-004"
"5.949043579e+002	6.731591420e-004"
"5.950661621e+002	-5.021105171e-004"
"5.952279663e+002	9.876679396e-004"
"5.953897705e+002	-1.561508514e-003"
"5.955515747e+002	1.550473156e-003"
"5.957133789e+002	-2.372610179e-004"
"5.958751831e+002	1.252517453e-003"
"5.960370483e+002	4.414158466e-004"
"5.961988525e+002	8.717962774e-004"
"5.963607178e+002	4.414158466e-004"
"5.965225830e+002	2.030512784e-003"
"5.966843872e+002	4.910751013e-004"
"5.968462524e+002	5.738405744e-004"
"5.970081177e+002	-6.841945578e-004"
"5.971700439e+002	6.731591420e-004"
"5.973319092e+002	-9.159378824e-004"
"5.974937744e+002	1.765663328e-004"
"5.976557007e+002	-4.855574225e-004"
"5.978175659e+002	1.649791724e-003"
"5.979794922e+002	1.434601436e-004"
"5.981414185e+002	4.414158466e-004"
"5.983033447e+002	-1.164234243e-003"
"5.984652710e+002	1.169751980e-003"
"5.986271973e+002	3.420972789e-004"
"5.987891235e+002	3.255441843e-004"
"5.989511108e+002	-9.987032972e-004"
"5.991130371e+002	1.120092697e-003"
"5.992750244e+002	-1.263552811e-003"
"5.994369507e+002	2.758849005e-004"
"5.995989380e+002	-5.683228956e-004"
"5.997609253e+002	1.086986507e-003"
"5.999229126e+002	-2.703671926e-004"
"6.000848999e+002	7.890308043e-004"
"6.002468872e+002	-1.710486395e-004"
"6.004089355e+002	1.070433413e-003"
"6.005709229e+002	-7.007476524e-004"
"6.007329712e+002	3.752034681e-004"
"6.008949585e+002	-4.524512333e-004"
"6.010570068e+002	1.153198886e-003"
"6.012190552e+002	-1.197340433e-003"
"6.013811035e+002	1.533920062e-003"
"6.015431519e+002	-7.504069363e-004"
"6.017052002e+002	9.049024666e-004"
"6.018673096e+002	-8.000662201e-004"
"6.020293579e+002	9.876679396e-004"
"6.021914673e+002	-8.166193147e-004"
"6.023535156e+002	1.467707683e-003"
"6.025156250e+002	-5.517698009e-004"
"6.026777344e+002	1.037327223e-003"
"6.028398438e+002	-3.200264764e-004"
